,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
1059,KY,G2101930,Jackson Julian Carroll Ap,724236,37.58,-83.32,
1060,VA,G2101950,Wise Lonesome Pine,724117,36.98,-82.53,24293
1061,KY,G2101970,Jackson Julian Carroll Ap,724236,37.58,-83.32,
1062,KY,G2101990,London Corbin Ap,724243,37.08,-84.08,40744
1063,OH,G2102010,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
1064,KY,G2102030,London Corbin Ap,724243,37.08,-84.08,40744
1065,KY,G2102050,Jackson-Carroll AP,724190,37.583,-83.317,
1066,KY,G2102070,London Corbin Ap,724243,37.08,-84.08,40744
1067,KY,G2102090,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
1068,KY,G2102110,Louisville Bowman Field,724235,38.23,-85.67,40205
1069,KY,G2102130,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
1070,KY,G2102150,Louisville Bowman Field,724235,38.23,-85.67,40205
1071,KY,G2102170,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
1072,KY,G2102190,Fort Campbell Aaf,746710,36.67,-87.48,42223
1073,KY,G2102210,Fort Campbell Aaf,746710,36.67,-87.48,42223
1074,KY,G2102230,Louisville Bowman Field,724235,38.23,-85.67,40205
1075,KY,G2102250,Henderson City,724238,37.82,-87.68,42420
1076,KY,G2102270,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
1077,KY,G2102290,Somerset Awos,724354,38.0,-84.6,40513
1078,KY,G2102310,London Corbin Ap,724243,37.08,-84.08,40744
1079,KY,G2102330,Henderson City,724238,37.82,-87.68,42420
1080,KY,G2102350,London Corbin Ap,724243,37.08,-84.08,40744
1081,KY,G2102370,Jackson Julian Carroll Ap,724236,37.58,-83.32,
1082,KY,G2102390,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
1083,LA,G2200010,Lafayette Regional Ap,722405,30.2,-91.98,
1084,LA,G2200030,Lake Charles Wb Airp,722404,30.22,-93.17,70602
1085,LA,G2200050,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
1086,LA,G2200070,Patterson Memorial,722329,29.72,-91.33,70392
1087,LA,G2200090,Alexandria Esler Regional Ap,722487,31.4,-92.3,71360
1088,LA,G2200110,Lake Charles Wb Airp,722404,30.22,-93.17,70602
1089,LA,G2200130,Barksdale Afb,722485,32.5,-93.67,71112
1090,LA,G2200150,Barksdale Afb,722485,32.5,-93.67,71112
