State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
IN,G1801510,Fort Wayne Intl Ap,725330,41,-85.2,46809
IN,G1801530,Monroe Co,724375,39.13,-86.62,47403
KY,G1801550,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
IN,G1801570,Lafayette Purdue Univ Ap,724386,40.42,-86.93,47906
IN,G1801590,Grissom Arb,725335,40.65,-86.15,46971
OH,G1801610,Dayton International Airport,724290,39.9,-84.22,45377
IN,G1801630,Evansville Regional Ap,724320,38.05,-87.53,47711
IN,G1801650,Terre Haute Hulman Regional A,724373,39.45,-87.3,47871
IN,G1801670,Terre Haute Hulman Regional A,724373,39.45,-87.3,47871
IN,G1801690,Grissom Arb,725335,40.65,-86.15,46971
IN,G1801710,Lafayette Purdue Univ Ap,724386,40.42,-86.93,47906
IN,G1801730,Evansville Regional Ap,724320,38.05,-87.53,47711
KY,G1801750,Louisville Standiford Field,724230,38.18,-85.73,40213
IN,G1801770,Delaware Co Johnson,725336,40.23,-85.4,47304
IN,G1801790,Fort Wayne Intl Ap,725330,41,-85.2,46809
IN,G1801810,Lafayette Purdue Univ Ap,724386,40.42,-86.93,47906
IN,G1801830,Fort Wayne Intl Ap,725330,41,-85.2,46809
IA,G1900010,Creston,725474,41.02,-94.37,50801
IA,G1900030,Creston,725474,41.02,-94.37,50801
IA,G1900050,Decorah,725476,43.28,-91.73,
IA,G1900070,Ottumwa Industrial Ap,725465,41.1,-92.45,52548
IA,G1900090,Atlantic,725453,41.4,-95.05,50022
IA,G1900110,Cedar Rapids Municipal Ap,725450,41.88,-91.72,52404
IA,G1900130,Waterloo Municipal Ap,725480,42.55,-92.4,50703
IA,G1900150,Boone Muni,725486,42.05,-93.85,50036
IA,G1900170,Waterloo Municipal Ap,725480,42.55,-92.4,50703
IA,G1900190,Oelwen,725488,42.68,-91.97,50662
IA,G1900210,Storm Lake,725496,42.6,-95.23,50588
IA,G1900230,Charles City,725463,43.07,-92.62,50616
IA,G1900250,Fort Dodge  Awos,725490,42.55,-94.18,
IA,G1900270,Carroll,725468,42.05,-94.78,51443
IA,G1900290,Atlantic,725453,41.4,-95.05,50022
IA,G1900310,Muscatine,725487,41.37,-91.15,52761
IA,G1900330,Mason City Municipal Arpt,725485,43.15,-93.33,50428
IA,G1900350,Storm Lake,725496,42.6,-95.23,50588
IA,G1900370,Charles City,725463,43.07,-92.62,50616
IA,G1900390,Chariton,725469,41.03,-93.37,
IA,G1900410,Spencer,726500,43.17,-95.15,51301
IA,G1900430,Decorah,725476,43.28,-91.73,
IA,G1900450,Clinton Muni  Awos,725473,41.83,-90.33,52732
IA,G1900470,Denison,725477,41.98,-95.38,51442
IA,G1900490,Des Moines Intl Ap,725460,41.53,-93.67,50321
IA,G1900510,Ottumwa Industrial Ap,725465,41.1,-92.45,52548
IA,G1900530,Chariton,725469,41.03,-93.37,
IA,G1900550,Monticello Muni,725475,42.23,-91.17,52310
IA,G1900570,Burlington-Southeast Iowa Rgnl AP,725420,40.783,-91.117,52601
IA,G1900590,Spencer,726500,43.17,-95.15,51301
IA,G1900610,Dubuque Regional Ap,725470,42.4,-90.7,52003
IA,G1900630,Estherville Muni,726499,43.4,-94.75,51334
IA,G1900650,Oelwen,725488,42.68,-91.97,50662
IA,G1900670,Charles City,725463,43.07,-92.62,50616
IA,G1900690,Mason City Municipal Arpt,725485,43.15,-93.33,50428
IA,G1900710,Shenandoah Muni,725467,40.75,-95.42,
IA,G1900730,Carroll,725468,42.05,-94.78,51443
IA,G1900750,Newton Muni,725464,41.68,-93.02,50208
IA,G1900770,Carroll,725468,42.05,-94.78,51443
IA,G1900790,Webster City,725478,42.43,-93.87,50595
IA,G1900810,Mason City Municipal Arpt,725485,43.15,-93.33,50428
IA,G1900830,Webster City,725478,42.43,-93.87,50595
NE,G1900850,Omaha Eppley Airfield,725500,41.32,-95.9,68110
IA,G1900870,Washington,725454,41.28,-91.67,52353
IA,G1900890,Charles City,725463,43.07,-92.62,50616
IA,G1900910,Fort Dodge  Awos,725490,42.55,-94.18,
IA,G1900930,Storm Lake,725496,42.6,-95.23,50588
IA,G1900950,Cedar Rapids Municipal Ap,725450,41.88,-91.72,52404
IA,G1900970,Dubuque Regional Ap,725470,42.4,-90.7,52003
IA,G1900990,Newton Muni,725464,41.68,-93.02,50208
IA,G1901010,Fair Field,726498,41.05,-91.98,52556
IA,G1901030,Cedar Rapids Municipal Ap,725450,41.88,-91.72,52404
IA,G1901050,Monticello Muni,725475,42.23,-91.17,52310
IA,G1901070,Fair Field,726498,41.05,-91.98,52556
IA,G1901090,Algona,725457,43.08,-94.27,50598
IA,G1901110,Keokuk Muni,725456,40.47,-91.43,52632
IA,G1901130,Cedar Rapids Municipal Ap,725450,41.88,-91.72,52404
IA,G1901150,Muscatine,725487,41.37,-91.15,52761
IA,G1901170,Chariton,725469,41.03,-93.37,
IA,G1901190,Sheldon,725495,43.22,-95.83,
IA,G1901210,Des Moines Intl Ap,725460,41.53,-93.67,50321
IA,G1901230,Ottumwa Industrial Ap,725465,41.1,-92.45,52548
IA,G1901250,Knoxville,725493,41.3,-93.12,50138
IA,G1901270,Newton Muni,725464,41.68,-93.02,50208
IA,G1901290,Council Bluffs,725497,41.27,-95.77,51503
IA,G1901310,Charles City,725463,43.07,-92.62,50616
NE,G1901330,Tekamah  Asos,725527,41.77,-96.17,68061
IA,G1901350,Ottumwa Industrial Ap,725465,41.1,-92.45,52548
IA,G1901370,Red Oak,725494,41.02,-95.27,51566
IA,G1901390,Muscatine,725487,41.37,-91.15,52761
IA,G1901410,Sheldon,725495,43.22,-95.83,
IA,G1901430,Sheldon,725495,43.22,-95.83,
IA,G1901450,Clarinda,725479,40.72,-95.03,51632
IA,G1901470,Estherville Muni,726499,43.4,-94.75,51334
IA,G1901490,Le Mars,725484,42.78,-96.2,51057
IA,G1901510,Algona,725457,43.08,-94.27,50598
IA,G1901530,Des Moines Intl Ap,725460,41.53,-93.67,50321
IA,G1901550,Council Bluffs,725497,41.27,-95.77,51503
IA,G1901570,Newton Muni,725464,41.68,-93.02,50208
IA,G1901590,Creston,725474,41.02,-94.37,50801
IA,G1901610,Storm Lake,725496,42.6,-95.23,50588
IL,G1901630,Moline Quad City Intl Ap,725440,41.47,-90.52,61265
IA,G1901650,Atlantic,725453,41.4,-95.05,50022
IA,G1901670,Orange City,725489,42.98,-96.07,51003
IA,G1901690,Boone Muni,725486,42.05,-93.85,50036
IA,G1901710,Newton Muni,725464,41.68,-93.02,50208
IA,G1901730,Clarinda,725479,40.72,-95.03,51632
IA,G1901750,Creston,725474,41.02,-94.37,50801
IA,G1901770,Fair Field,726498,41.05,-91.98,52556
IA,G1901790,Ottumwa Industrial Ap,725465,41.1,-92.45,52548
IA,G1901810,Des Moines Intl Ap,725460,41.53,-93.67,50321
IA,G1901830,Washington,725454,41.28,-91.67,52353
IA,G1901850,Chariton,725469,41.03,-93.37,
IA,G1901870,Fort Dodge  Awos,725490,42.55,-94.18,
IA,G1901890,Mason City Municipal Arpt,725485,43.15,-93.33,50428
IA,G1901910,Decorah,725476,43.28,-91.73,
IA,G1901930,Sioux City Sioux Gateway Ap,725570,42.38,-96.38,51054
IA,G1901950,Mason City Municipal Arpt,725485,43.15,-93.33,50428
IA,G1901970,Webster City,725478,42.43,-93.87,50595
KS,G2000010,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
KS,G2000030,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
MO,G2000050,Kansas City IntL Arpt,724460,39.3,-94.72,64153
KS,G2000070,Hutchinson Municipal Ap,724506,38.07,-97.87,
KS,G2000090,Great Bend  Awos,724517,38.35,-98.87,
MO,G2000110,Joplin Municipal Ap,723495,37.15,-94.5,64870
NE,G2000130,Falls City Brenner,725533,40.08,-95.6,68355
KS,G2000150,Wichita Col  Jabara,724504,37.75,-97.22,67226
KS,G2000170,Emporia Municipal Ap,724556,38.33,-96.18,
KS,G2000190,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
MO,G2000210,Joplin Municipal Ap,723495,37.15,-94.5,64870
KS,G2000230,Goodland Renner Field,724650,39.37,-101.7,67735
KS,G2000250,Dodge City Regional Ap,724510,37.77,-99.97,67801
KS,G2000270,Fort Riley Marshall Aaf,724550,39.05,-96.77,66442
KS,G2000290,Concordia Blosser Muni Ap,724580,39.55,-97.65,66901
KS,G2000310,Emporia Municipal Ap,724556,38.33,-96.18,
KS,G2000330,Dodge City Regional Ap,724510,37.77,-99.97,67801
KS,G2000350,Mcconnell Afb,724505,37.62,-97.27,67202
MO,G2000370,Joplin Municipal Ap,723495,37.15,-94.5,64870
NE,G2000390,Mccook Municipal,725625,40.2,-100.58,69001
KS,G2000410,Fort Riley Marshall Aaf,724550,39.05,-96.77,66442
MO,G2000430,St Joseph Rosecrans Memorial,724490,39.77,-94.9,66024
KS,G2000450,Olathe Johnson Co Industrial,724475,38.83,-94.88,66061
KS,G2000470,Dodge City Regional Ap,724510,37.77,-99.97,67801
KS,G2000490,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
KS,G2000510,Hays Muni  Awos,724518,38.85,-99.27,
KS,G2000530,Russell Municipal Ap,724585,38.88,-98.82,67665
KS,G2000550,Garden City Municipal Ap,724515,37.93,-100.72,
KS,G2000570,Dodge City Regional Ap,724510,37.77,-99.97,67801
KS,G2000590,Olathe Johnson Co Industrial,724475,38.83,-94.88,66061
KS,G2000610,Fort Riley Marshall Aaf,724550,39.05,-96.77,66442
KS,G2000630,Hill City Municipal Ap,724655,39.38,-99.83,67642
KS,G2000650,Hill City Municipal Ap,724655,39.38,-99.83,67642
KS,G2000670,Liberal Muni,724516,37.03,-100.97,
KS,G2000690,Garden City Municipal Ap,724515,37.93,-100.72,
KS,G2000710,Goodland Renner Field,724650,39.37,-101.7,67735
KS,G2000730,Emporia Municipal Ap,724556,38.33,-96.18,
KS,G2000750,Garden City Municipal Ap,724515,37.93,-100.72,
KS,G2000770,Wichita Mid Continent Ap,724500,37.65,-97.43,67209
KS,G2000790,Newton  Awos,724509,38.05,-97.28,67151
KS,G2000810,Garden City Municipal Ap,724515,37.93,-100.72,
KS,G2000830,Dodge City Regional Ap,724510,37.77,-99.97,67801
KS,G2000850,Topeka Municipal Ap,724560,39.07,-95.63,66616
KS,G2000870,Topeka Municipal Ap,724560,39.07,-95.63,66616
KS,G2000890,Concordia Blosser Muni Ap,724580,39.55,-97.65,66901
KS,G2000910,Olathe Johnson Co,724468,38.85,-94.73,66221
KS,G2000930,Garden City Municipal Ap,724515,37.93,-100.72,
KS,G2000950,Hutchinson Municipal Ap,724506,38.07,-97.87,
KS,G2000970,Dodge City Regional Ap,724510,37.77,-99.97,67801
KS,G2000990,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
KS,G2001010,Hill City Municipal Ap,724655,39.38,-99.83,67642
MO,G2001030,Kansas City IntL Arpt,724460,39.3,-94.72,64153
KS,G2001050,Salina Municipal Ap,724586,38.82,-97.67,
KS,G2001070,Olathe Johnson Co Industrial,724475,38.83,-94.88,66061
KS,G2001090,Goodland Renner Field,724650,39.37,-101.7,67735
KS,G2001110,Emporia Municipal Ap,724556,38.33,-96.18,
KS,G2001130,Hutchinson Municipal Ap,724506,38.07,-97.87,
KS,G2001150,Newton  Awos,724509,38.05,-97.28,67151
NE,G2001170,Beatrice Municipal,725515,40.3,-96.75,
KS,G2001190,Liberal Muni,724516,37.03,-100.97,
KS,G2001210,Olathe Johnson Co Industrial,724475,38.83,-94.88,66061
KS,G2001230,Concordia Blosser Muni Ap,724580,39.55,-97.65,66901
KS,G2001250,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
KS,G2001270,Fort Riley Marshall Aaf,724550,39.05,-96.77,66442
KS,G2001290,Liberal Muni,724516,37.03,-100.97,
NE,G2001310,Falls City Brenner,725533,40.08,-95.6,68355
KS,G2001330,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
KS,G2001350,Hays Muni  Awos,724518,38.85,-99.27,
KS,G2001370,Hill City Municipal Ap,724655,39.38,-99.83,67642
KS,G2001390,Topeka Forbes Field,724565,38.95,-95.67,66624
KS,G2001410,Russell Municipal Ap,724585,38.88,-98.82,67665
KS,G2001430,Salina Municipal Ap,724586,38.82,-97.67,
KS,G2001450,Great Bend  Awos,724517,38.35,-98.87,
KS,G2001470,Hill City Municipal Ap,724655,39.38,-99.83,67642
KS,G2001490,Manhattan Rgnl,724555,39.13,-96.67,66517
KS,G2001510,Great Bend  Awos,724517,38.35,-98.87,
NE,G2001530,Mccook Municipal,725625,40.2,-100.58,69001
KS,G2001550,Hutchinson Municipal Ap,724506,38.07,-97.87,
KS,G2001570,Concordia Blosser Muni Ap,724580,39.55,-97.65,66901
KS,G2001590,Hutchinson Municipal Ap,724506,38.07,-97.87,
KS,G2001610,Manhattan Rgnl,724555,39.13,-96.67,66517
KS,G2001630,Hays Muni  Awos,724518,38.85,-99.27,
KS,G2001650,Hays Muni  Awos,724518,38.85,-99.27,
KS,G2001670,Russell Municipal Ap,724585,38.88,-98.82,67665
KS,G2001690,Salina Municipal Ap,724586,38.82,-97.67,
KS,G2001710,Goodland Renner Field,724650,39.37,-101.7,67735
KS,G2001730,Wichita Mid Continent Ap,724500,37.65,-97.43,67209
KS,G2001750,Liberal Muni,724516,37.03,-100.97,
KS,G2001770,Topeka Municipal Ap,724560,39.07,-95.63,66616
KS,G2001790,Hill City Municipal Ap,724655,39.38,-99.83,67642
KS,G2001810,Goodland Renner Field,724650,39.37,-101.7,67735
NE,G2001830,Brewster Field Arpt,725628,40.45,-99.33,68949
KS,G2001850,Great Bend  Awos,724517,38.35,-98.87,
KS,G2001870,Liberal Muni,724516,37.03,-100.97,
KS,G2001890,Liberal Muni,724516,37.03,-100.97,
KS,G2001910,Mcconnell Afb,724505,37.62,-97.27,67202
KS,G2001930,Goodland Renner Field,724650,39.37,-101.7,67735
KS,G2001950,Hill City Municipal Ap,724655,39.38,-99.83,67642
KS,G2001970,Topeka Forbes Field,724565,38.95,-95.67,66624
KS,G2001990,Goodland Renner Field,724650,39.37,-101.7,67735
KS,G2002010,Manhattan Rgnl,724555,39.13,-96.67,66517
KS,G2002030,Goodland Renner Field,724650,39.37,-101.7,67735
KS,G2002050,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
KS,G2002070,Chanute Martin Johnson Ap,724507,37.67,-95.48,66720
MO,G2002090,Kansas City Downtown Ap,724463,39.12,-94.6,64105
KY,G2100010,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
KY,G2100030,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2100050,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
KY,G2100070,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
KY,G2100090,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2100110,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2100130,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2100150,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
KY,G2100170,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
WV,G2100190,Huntington Tri State Arpt,724250,38.38,-82.55,25530
KY,G2100210,Somerset Awos,724354,38,-84.6,40513
OH,G2100230,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
KY,G2100250,Jackson Julian Carroll Ap,724236,37.58,-83.32,
KY,G2100270,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
KY,G2100290,Louisville Standiford Field,724230,38.18,-85.73,40213
KY,G2100310,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2100330,Fort Campbell Aaf,746710,36.67,-87.48,42223
KY,G2100350,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
OH,G2100370,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
KY,G2100390,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
KY,G2100410,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
WV,G2100430,Huntington Tri State Arpt,724250,38.38,-82.55,25530
KY,G2100450,Somerset Awos,724354,38,-84.6,40513
KY,G2100470,Fort Campbell Aaf,746710,36.67,-87.48,42223
KY,G2100490,Somerset Awos,724354,38,-84.6,40513
KY,G2100510,London Corbin Ap,724243,37.08,-84.08,40744
TN,G2100530,Crossville Meml AP-Whitson Field,723250,35.95,-85.083,38555
KY,G2100550,Henderson City,724238,37.82,-87.68,42420
TN,G2100570,Crossville Meml AP-Whitson Field,723250,35.95,-85.083,38555
IN,G2100590,Huntingburg,724365,38.25,-86.95,47542
KY,G2100610,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2100630,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2100650,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2100670,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
KY,G2100690,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2100710,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2100730,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
KY,G2100750,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
KY,G2100770,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
KY,G2100790,Somerset Awos,724354,38,-84.6,40513
KY,G2100810,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
KY,G2100830,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
KY,G2100850,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2100870,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
WV,G2100890,Huntington Tri State Arpt,724250,38.38,-82.55,25530
IN,G2100910,Huntingburg,724365,38.25,-86.95,47542
KY,G2100930,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
VA,G2100950,Wise Lonesome Pine,724117,36.98,-82.53,24293
KY,G2100970,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
KY,G2100990,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2101010,Henderson City,724238,37.82,-87.68,42420
KY,G2101030,Louisville Bowman Field,724235,38.23,-85.67,40205
KY,G2101050,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
KY,G2101070,Henderson City,724238,37.82,-87.68,42420
KY,G2101090,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2101110,Louisville Bowman Field,724235,38.23,-85.67,40205
KY,G2101130,Somerset Awos,724354,38,-84.6,40513
KY,G2101150,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2101170,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
KY,G2101190,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2101210,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2101230,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
KY,G2101250,London Corbin Ap,724243,37.08,-84.08,40744
WV,G2101270,Huntington Tri State Arpt,724250,38.38,-82.55,25530
KY,G2101290,Jackson Julian Carroll Ap,724236,37.58,-83.32,
KY,G2101310,Jackson Julian Carroll Ap,724236,37.58,-83.32,
VA,G2101330,Wise Lonesome Pine,724117,36.98,-82.53,24293
WV,G2101350,Huntington Tri State Arpt,724250,38.38,-82.55,25530
KY,G2101370,Somerset Awos,724354,38,-84.6,40513
KY,G2101390,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
KY,G2101410,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2101430,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
KY,G2101450,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
KY,G2101470,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2101490,Henderson City,724238,37.82,-87.68,42420
KY,G2101510,Somerset Awos,724354,38,-84.6,40513
KY,G2101530,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2101550,Louisville Standiford Field,724230,38.18,-85.73,40213
KY,G2101570,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
WV,G2101590,Huntington Tri State Arpt,724250,38.38,-82.55,25530
OH,G2101610,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
KY,G2101630,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
KY,G2101650,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2101670,Somerset Awos,724354,38,-84.6,40513
KY,G2101690,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2101710,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2101730,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
KY,G2101750,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2101770,Fort Campbell Aaf,746710,36.67,-87.48,42223
KY,G2101790,Louisville Standiford Field,724230,38.18,-85.73,40213
KY,G2101810,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
KY,G2101830,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2101850,Louisville Bowman Field,724235,38.23,-85.67,40205
KY,G2101870,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
KY,G2101890,Jackson Julian Carroll Ap,724236,37.58,-83.32,
OH,G2101910,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
KY,G2101930,Jackson Julian Carroll Ap,724236,37.58,-83.32,
VA,G2101950,Wise Lonesome Pine,724117,36.98,-82.53,24293
KY,G2101970,Jackson Julian Carroll Ap,724236,37.58,-83.32,
KY,G2101990,London Corbin Ap,724243,37.08,-84.08,40744
OH,G2102010,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
KY,G2102030,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2102050,Jackson-Carroll AP,724190,37.583,-83.317,
KY,G2102070,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2102090,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
KY,G2102110,Louisville Bowman Field,724235,38.23,-85.67,40205
KY,G2102130,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2102150,Louisville Bowman Field,724235,38.23,-85.67,40205
KY,G2102170,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
KY,G2102190,Fort Campbell Aaf,746710,36.67,-87.48,42223
KY,G2102210,Fort Campbell Aaf,746710,36.67,-87.48,42223
KY,G2102230,Louisville Bowman Field,724235,38.23,-85.67,40205
KY,G2102250,Henderson City,724238,37.82,-87.68,42420
KY,G2102270,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
KY,G2102290,Somerset Awos,724354,38,-84.6,40513
KY,G2102310,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2102330,Henderson City,724238,37.82,-87.68,42420
KY,G2102350,London Corbin Ap,724243,37.08,-84.08,40744
KY,G2102370,Jackson Julian Carroll Ap,724236,37.58,-83.32,
KY,G2102390,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
LA,G2200010,Lafayette Regional Ap,722405,30.2,-91.98,
LA,G2200030,Lake Charles Wb Airp,722404,30.22,-93.17,70602
LA,G2200050,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
LA,G2200070,Patterson Memorial,722329,29.72,-91.33,70392
LA,G2200090,Alexandria Esler Regional Ap,722487,31.4,-92.3,71360
LA,G2200110,Lake Charles Wb Airp,722404,30.22,-93.17,70602
LA,G2200130,Barksdale Afb,722485,32.5,-93.67,71112
LA,G2200150,Barksdale Afb,722485,32.5,-93.67,71112
LA,G2200170,Shreveport Regional Arpt,722480,32.45,-93.82,71109
LA,G2200190,Lake Charles Wb Airp,722404,30.22,-93.17,70602
LA,G2200210,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2200230,Lake Charles Regional Arpt,722400,30.12,-93.23,70605
MS,G2200250,Natchez Hardy Awos,722357,31.62,-91.3,39190
AR,G2200270,El Dorado Goodwin Field,723419,33.22,-92.82,
MS,G2200290,Natchez Hardy Awos,722357,31.62,-91.3,39190
LA,G2200310,Shreveport Regional Arpt,722480,32.45,-93.82,71109
LA,G2200330,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
MS,G2200350,Greenville Municipal,722356,33.48,-90.98,38782
LA,G2200370,Baton Rouge Metro AP,722320,30.533,-91.15,70811
LA,G2200390,Lafayette Regional Ap,722405,30.2,-91.98,
LA,G2200410,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2200430,England Afb,747540,31.32,-92.55,
LA,G2200450,New Iberia Naas,722314,30.03,-91.88,
LA,G2200470,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
LA,G2200490,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2200510,New Orleans Intl Arpt,722310,30,-90.25,70062
LA,G2200530,Lake Charles Wb Airp,722404,30.22,-93.17,70602
LA,G2200550,Lafayette Regional Ap,722405,30.2,-91.98,
LA,G2200570,Houma Terrebonne,722406,29.57,-90.67,70363
LA,G2200590,Alexandria Esler Regional Ap,722487,31.4,-92.3,71360
LA,G2200610,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2200630,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
MS,G2200650,Natchez Hardy Awos,722357,31.62,-91.3,39190
LA,G2200670,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2200690,Fort Polk Aaf,722390,31.05,-93.18,71459
LA,G2200710,New Orleans Lakefront Ap,722315,30.05,-90.03,
LA,G2200730,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2200750,New Orleans Alvin Callender F,722316,29.82,-90.02,70037
LA,G2200770,Baton Rouge Metro AP,722320,30.533,-91.15,70811
LA,G2200790,England Afb,747540,31.32,-92.55,
LA,G2200810,Barksdale Afb,722485,32.5,-93.67,71112
LA,G2200830,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2200850,Fort Polk Aaf,722390,31.05,-93.18,71459
LA,G2200870,New Orleans Alvin Callender F,722316,29.82,-90.02,70037
LA,G2200890,New Orleans Intl Arpt,722310,30,-90.25,70062
LA,G2200910,Baton Rouge Metro AP,722320,30.533,-91.15,70811
LA,G2200930,Houma Terrebonne,722406,29.57,-90.67,70363
LA,G2200950,New Orleans Intl Arpt,722310,30,-90.25,70062
LA,G2200970,Lafayette Regional Ap,722405,30.2,-91.98,
LA,G2200990,Lafayette Regional Ap,722405,30.2,-91.98,
LA,G2201010,Patterson Memorial,722329,29.72,-91.33,70392
LA,G2201030,New Orleans Lakefront Ap,722315,30.05,-90.03,
LA,G2201050,New Orleans Intl Arpt,722310,30,-90.25,70062
MS,G2201070,Natchez Hardy Awos,722357,31.62,-91.3,39190
LA,G2201090,Houma Terrebonne,722406,29.57,-90.67,70363
LA,G2201110,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2201130,Lafayette Regional Ap,722405,30.2,-91.98,
LA,G2201150,Fort Polk Aaf,722390,31.05,-93.18,71459
LA,G2201170,New Orleans Lakefront Ap,722315,30.05,-90.03,
LA,G2201190,Barksdale Afb,722485,32.5,-93.67,71112
LA,G2201210,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
LA,G2201230,Monroe Regional Ap,722486,32.52,-92.03,71211
LA,G2201250,Baton Rouge Metro AP,722320,30.533,-91.15,70811
LA,G2201270,Monroe Regional Ap,722486,32.52,-92.03,71211
ME,G2300010,Auburn Lewiston,726184,44.05,-70.28,4210
ME,G2300030,Presque Isle Municip,727130,46.68,-68.05,4769
ME,G2300050,Portland Intl Jetport,726060,43.65,-70.3,4102
ME,G2300070,Waterville  Awos,726073,44.53,-69.68,4901
ME,G2300090,Bar Harbor  Awos,726077,44.45,-68.37,4605
ME,G2300110,Augusta Airport,726185,44.32,-69.8,4330
ME,G2300130,Rockland Knox Awos,726079,44.07,-69.1,4854
ME,G2300150,Wiscasset,727135,43.97,-69.72,4578
